date; place
15.08.1939; Bad Kissingen; t
20.08.1939; Prag; t
26.08.1939; Gleiwitz; t
01.09.1939; Gleiwitz;
06.09.1939; Lysa Gory
07.09.1939; Lodz
15.09.1939; Warschau
26.09.1939; Warschau; z
30.09.1939; Bad Kissingen; tz
10.02.1940; Bad Kissingen; z
15.02.1940; Heimersheim; tz
19.02.1940; Heimersheim; tz
20.02.1940; Dernau; tz
01.05.1940; Vogelsang; tzo
10.05.1940; Vogelsang
12.05.1940; Dinant
16.05.1940; Sivry
17.05.1940; Avesnes
18.05.1940; Cambrai
20.05.1940; St. Quentin Kanal; o
20.05.1940; Arras
27.05.1940; Lille
28.05.1940; Lomme
05.06.1940; Lomme
07.06.1940; Rouen
09.06.1940; Fecamp
15.06.1940; Fecamp
16.06.1940; Caen
17.06.1940; Cherbourg
19.06.1940; Cherbourg
20.06.1940; Rennes
20.06.1940; Nantes
20.06.1940; La Rochelle
21.06.1940; Rochefort
21.06.1940; Gironde; zo
22.06.1940; Bordeaux
26.06.1940; Bordeaux; z
26.06.1940; Arcachon; z
15.07.1940; Le Vesinet; z
28.08.1940; Le Vesinet; z
30.08.1940; Bad Kissingen; z
12.09.1940; Bad Kissingen; z
14.09.1940; Le Vesinet; z
10.11.1940; Le Vesinet; z
15.11.1940; Bordeaux; zo
10.01.1941; Bordeaux; zo
15.01.1941; Heimerzheim; zt
08.04.1941; Heimerzheim; zt
10.04.1941; Flensburg; zot
17.04.1941; Flensburg; zot
20.04.1941; Paris; zt
25.04.1941; Paris; zt
27.04.1941; Heimerzheim; zt
05.06.1941; Heimerzheim; zt
05.06.1941; Bonn; tz
08.06.1941; Insterburg; tz
21.06.1941; Insterburg;
22.06.1941; Olita; o
23.06.1941; Wilna
26.06.1941; Minsk
15.07.1941; Smolensk; z
20.07.1941; Jarcewo
28.10.1941; Wolokolamsk
23.11.1941; Klin
27.11.1941; Jachroma
03.12.1941; Jachroma
05.01.1942; Wolokolamsk; z
25.01.1942; Wolokolamsk; z
01.02.1942; Grodno; zt
02.02.1942; Warschau; zt
03.02.1942; Posen; zt
03.02.1942; Stahnsdorf; zt
08.02.1942; Berlin; zt
12.02.1942; Stahnsdorf; zt
16.02.1942; Flensburg; zt
25.02.1942; Flensburg; zt
27.02.1942; Bonn; zt
27.02.1942; Heimerzheim; zt
02.03.1942; Paris; zt
12.03.1942; Paris; zt
15.03.1942; Stahnsdorf; zt
01.04.1942; Berlin; t
02.04.1942; Rom; t
03.04.1942; Rom; t
05.04.1942; Brindisi; t
05.04.1942; Kreta; t
08.04.1942; Kreta; t
08.04.1942; Derna; t
26.05.1942; Derna; to
27.05.1942; Bir-el Harmat; o
01.06.1942; Derna; o
05.06.1942; Neapel; z
10.06.1942; Eßlingen; z
05.07.1942; Eßlingen
05.07.1942; Bad Kissingen
01.09.1942; Bad Kissingen
03.09.1942; Flensburg; z
09.09.1942; Flensburg; z
10.09.1942; Stahnsdorf; z
15.09.1942; Stahnsdorf; z
17.09.1942; Rom; z
18.09.1942; Sizilien; z
19.09.1942; Tobruk; z
23.09.1942; Tobruk; z
23.09.1942; Siwa
03.11.1942; Siwa
06.11.1942; Giarabub
18.11.1942; Agedabia; oz
20.11.1942; Nofilia; o
05.12.1942; Süd Homs
15.01.1943; Tarhuna; o
15.02.1943; Tataouine; oz
19.02.1943; Kasserinepaß
01.03.1943; Tunis; o
28.03.1943; Tunis; oz
29.03.1943; Sizilien; z
29.03.1943; Rom; z
30.03.1943; Berlin; z
02.04.1943; Berchtesgaden; z
05.04.1943; Rom; z
28.04.1943; Rom; z
01.05.1943; München; z
05.05.1943; Berlin; z
20.07.1943; Berlin; z
21.07.1943; Hamburg; z
24.07.1943; Hamburg; z
25.07.1943; Flensburg; z
29.07.1943; Flensburg; z
30.07.1943; Berlin; z
15.08.1943; Berlin; z
17.08.1943; Heimerzheim; z
19.08.1943; Paris; z
01.11.1943; Berlin; z
02.11.1943; Sachsenhausen; z
03.11.1943; Berlin; z
04.11.1943; Paris; z
20.04.1944; Paris; z
20.04.1944; La Roche Guyon; z
22.04.1944; Nogent-le-Rotrou; oz
05.05.1944; Caen; z
17.05.1944; Caen; z
17.05.1944; Paris; z
23.05.1944; Paris; z
23.05.1944; Caen; z
05.06.1944; Bellengreville